Local time,Open,High,Low,Close,Volume
05.04.2018 01:00:00.000 GMT+0800,106.614,106.623,106.509,106.573,7660.4502
05.04.2018 02:00:00.000 GMT+0800,106.576,106.799,106.576,106.741,9750.1201
05.04.2018 03:00:00.000 GMT+0800,106.739,106.822,106.680,106.796,8476.6201
05.04.2018 04:00:00.000 GMT+0800,106.796,106.846,106.756,106.773,2690.8999
05.04.2018 05:00:00.000 GMT+0800,106.772,106.774,106.720,106.760,5426.0698
05.04.2018 06:00:00.000 GMT+0800,106.759,106.811,106.729,106.780,1709.6899
05.04.2018 07:00:00.000 GMT+0800,106.780,106.804,106.741,106.785,2935.05
05.04.2018 08:00:00.000 GMT+0800,106.789,106.877,106.710,106.867,9214.6504
05.04.2018 09:00:00.000 GMT+0800,106.864,106.972,106.776,106.960,8919.5596
05.04.2018 10:00:00.000 GMT+0800,106.959,106.987,106.899,106.975,5529.2402
05.04.2018 11:00:00.000 GMT+0800,106.975,106.992,106.899,106.919,4740.8599
05.04.2018 12:00:00.000 GMT+0800,106.919,107.023,106.902,106.936,5970.0801
05.04.2018 13:00:00.000 GMT+0800,106.936,106.945,106.832,106.898,5922.5498
05.04.2018 14:00:00.000 GMT+0800,106.898,107.086,106.866,107.057,7867.8999
05.04.2018 15:00:00.000 GMT+0800,107.057,107.152,107.053,107.056,8868.6104
05.04.2018 16:00:00.000 GMT+0800,107.057,107.143,107.028,107.115,7264.77
05.04.2018 17:00:00.000 GMT+0800,107.115,107.127,106.951,107.050,6903.0698
05.04.2018 18:00:00.000 GMT+0800,107.053,107.061,106.966,106.995,7603.46
05.04.2018 19:00:00.000 GMT+0800,106.997,107.094,106.973,107.042,6312.3799
05.04.2018 20:00:00.000 GMT+0800,107.050,107.146,107.005,107.081,9769.8398
05.04.2018 21:00:00.000 GMT+0800,107.080,107.131,107.000,107.129,10755.6201
05.04.2018 22:00:00.000 GMT+0800,107.130,107.491,107.111,107.455,12394.2402
05.04.2018 23:00:00.000 GMT+0800,107.456,107.485,107.393,107.480,9259.8896
06.04.2018 00:00:00.000 GMT+0800,107.480,107.482,107.340,107.427,76157.9531
06.04.2018 01:00:00.000 GMT+0800,107.427,107.452,107.320,107.373,6826.4302
06.04.2018 02:00:00.000 GMT+0800,107.374,107.448,107.365,107.440,5614.5801
06.04.2018 03:00:00.000 GMT+0800,107.439,107.489,107.379,107.465,4414.0601
06.04.2018 04:00:00.000 GMT+0800,107.467,107.478,107.369,107.381,2168.97
06.04.2018 05:00:00.000 GMT+0800,107.381,107.429,107.367,107.413,4150.6899
06.04.2018 06:00:00.000 GMT+0800,107.412,107.435,107.155,107.156,3921.1101
06.04.2018 07:00:00.000 GMT+0800,107.156,107.197,107.000,107.106,9513
06.04.2018 08:00:00.000 GMT+0800,107.105,107.187,107.064,107.152,10465.8096
06.04.2018 09:00:00.000 GMT+0800,107.153,107.183,106.994,107.143,11735.5195
06.04.2018 10:00:00.000 GMT+0800,107.145,107.264,107.130,107.217,7412.75
06.04.2018 11:00:00.000 GMT+0800,107.218,107.285,107.175,107.228,7089.3501
06.04.2018 12:00:00.000 GMT+0800,107.229,107.439,107.224,107.351,7968.8799
06.04.2018 13:00:00.000 GMT+0800,107.350,107.381,107.268,107.286,8100.6899
06.04.2018 14:00:00.000 GMT+0800,107.288,107.430,107.276,107.418,7740.8398
06.04.2018 15:00:00.000 GMT+0800,107.419,107.460,107.351,107.400,7800.2998
06.04.2018 16:00:00.000 GMT+0800,107.405,107.443,107.352,107.414,5670.3301
06.04.2018 17:00:00.000 GMT+0800,107.414,107.422,107.323,107.329,4908.8301
06.04.2018 18:00:00.000 GMT+0800,107.325,107.402,107.323,107.387,4623.9702
06.04.2018 19:00:00.000 GMT+0800,107.387,107.392,107.307,107.308,5085.6401
06.04.2018 20:00:00.000 GMT+0800,107.309,107.406,107.125,107.225,12960.7998
06.04.2018 21:00:00.000 GMT+0800,107.223,107.285,106.988,107.216,15116.4902
06.04.2018 22:00:00.000 GMT+0800,107.216,107.256,107.071,107.119,12787.8496
06.04.2018 23:00:00.000 GMT+0800,107.118,107.118,106.948,107.044,12720.9004
07.04.2018 00:00:00.000 GMT+0800,107.044,107.154,106.996,107.108,9995.5303
07.04.2018 01:00:00.000 GMT+0800,107.108,107.110,106.830,106.852,11492.6504
07.04.2018 02:00:00.000 GMT+0800,106.851,106.930,106.824,106.841,11003.21
07.04.2018 03:00:00.000 GMT+0800,106.840,106.922,106.775,106.870,12432.7305
07.04.2018 04:00:00.000 GMT+0800,106.870,106.976,106.844,106.902,3049.2
07.04.2018 05:00:00.000 GMT+0800,106.902,106.902,106.902,106.902,0
07.04.2018 06:00:00.000 GMT+0800,106.902,106.902,106.902,106.902,0
07.04.2018 07:00:00.000 GMT+0800,106.902,106.902,106.902,106.902,0
07.04.2018 08:00:00.000 GMT+0800,106.902,106.902,106.902,106.902,0
07.04.2018 09:00:00.000 GMT+0800,106.902,106.902,106.902,106.902,0
07.04.2018 10:00:00.000 GMT+0800,106.902,106.902,106.902,106.902,0
07.04.2018 11:00:00.000 GMT+0800,106.902,106.902,106.902,106.902,0
07.04.2018 12:00:00.000 GMT+0800,106.902,106.902,106.902,106.902,0
07.04.2018 13:00:00.000 GMT+0800,106.902,106.902,106.902,106.902,0
07.04.2018 14:00:00.000 GMT+0800,106.902,106.902,106.902,106.902,0
07.04.2018 15:00:00.000 GMT+0800,106.902,106.902,106.902,106.902,0
07.04.2018 16:00:00.000 GMT+0800,106.902,106.902,106.902,106.902,0
07.04.2018 17:00:00.000 GMT+0800,106.902,106.902,106.902,106.902,0
07.04.2018 18:00:00.000 GMT+0800,106.902,106.902,106.902,106.902,0
07.04.2018 19:00:00.000 GMT+0800,106.902,106.902,106.902,106.902,0
07.04.2018 20:00:00.000 GMT+0800,106.902,106.902,106.902,106.902,0
07.04.2018 21:00:00.000 GMT+0800,106.902,106.902,106.902,106.902,0
07.04.2018 22:00:00.000 GMT+0800,106.902,106.902,106.902,106.902,0
07.04.2018 23:00:00.000 GMT+0800,106.902,106.902,106.902,106.902,0
08.04.2018 00:00:00.000 GMT+0800,106.902,106.902,106.902,106.902,0
08.04.2018 01:00:00.000 GMT+0800,106.902,106.902,106.902,106.902,0
08.04.2018 02:00:00.000 GMT+0800,106.902,106.902,106.902,106.902,0
08.04.2018 03:00:00.000 GMT+0800,106.902,106.902,106.902,106.902,0
08.04.2018 04:00:00.000 GMT+0800,106.902,106.902,106.902,106.902,0
08.04.2018 05:00:00.000 GMT+0800,106.902,106.902,106.902,106.902,0
08.04.2018 06:00:00.000 GMT+0800,106.902,106.902,106.902,106.902,0
08.04.2018 07:00:00.000 GMT+0800,106.902,106.902,106.902,106.902,0
08.04.2018 08:00:00.000 GMT+0800,106.902,106.902,106.902,106.902,0
08.04.2018 09:00:00.000 GMT+0800,106.902,106.902,106.902,106.902,0
08.04.2018 10:00:00.000 GMT+0800,106.902,106.902,106.902,106.902,0
08.04.2018 11:00:00.000 GMT+0800,106.902,106.902,106.902,106.902,0
08.04.2018 12:00:00.000 GMT+0800,106.902,106.902,106.902,106.902,0
08.04.2018 13:00:00.000 GMT+0800,106.902,106.902,106.902,106.902,0
08.04.2018 14:00:00.000 GMT+0800,106.902,106.902,106.902,106.902,0
08.04.2018 15:00:00.000 GMT+0800,106.902,106.902,106.902,106.902,0
08.04.2018 16:00:00.000 GMT+0800,106.902,106.902,106.902,106.902,0
08.04.2018 17:00:00.000 GMT+0800,106.902,106.902,106.902,106.902,0
08.04.2018 18:00:00.000 GMT+0800,106.902,106.902,106.902,106.902,0
08.04.2018 19:00:00.000 GMT+0800,106.902,106.902,106.902,106.902,0
08.04.2018 20:00:00.000 GMT+0800,106.902,106.902,106.902,106.902,0
08.04.2018 21:00:00.000 GMT+0800,106.902,106.902,106.902,106.902,0
08.04.2018 22:00:00.000 GMT+0800,106.902,106.902,106.902,106.902,0
08.04.2018 23:00:00.000 GMT+0800,106.902,106.902,106.902,106.902,0
09.04.2018 00:00:00.000 GMT+0800,106.902,106.902,106.902,106.902,0
09.04.2018 01:00:00.000 GMT+0800,106.902,106.902,106.902,106.902,0
09.04.2018 02:00:00.000 GMT+0800,106.902,106.902,106.902,106.902,0
09.04.2018 03:00:00.000 GMT+0800,106.902,106.902,106.902,106.902,0
09.04.2018 04:00:00.000 GMT+0800,106.902,106.902,106.902,106.902,0
09.04.2018 05:00:00.000 GMT+0800,106.931,106.948,106.889,106.913,207.64
09.04.2018 06:00:00.000 GMT+0800,106.912,107.039,106.893,106.893,3693.95
09.04.2018 07:00:00.000 GMT+0800,106.893,106.998,106.802,106.958,6285.4902
09.04.2018 08:00:00.000 GMT+0800,106.956,107.015,106.856,106.887,8035.9399
09.04.2018 09:00:00.000 GMT+0800,106.887,106.966,106.838,106.918,8964.9297
09.04.2018 10:00:00.000 GMT+0800,106.918,106.966,106.893,106.957,4214.8398
09.04.2018 11:00:00.000 GMT+0800,106.961,107.067,106.937,107.035,5857.7402
09.04.2018 12:00:00.000 GMT+0800,107.035,107.048,106.999,107.017,6391.8501
09.04.2018 13:00:00.000 GMT+0800,107.018,107.044,106.954,106.979,5499.9702
09.04.2018 14:00:00.000 GMT+0800,106.981,107.129,106.963,107.097,7029.25
09.04.2018 15:00:00.000 GMT+0800,107.097,107.146,106.955,107.088,10022.9004
09.04.2018 16:00:00.000 GMT+0800,107.087,107.154,107.066,107.088,9413.3203
09.04.2018 17:00:00.000 GMT+0800,107.086,107.156,107.073,107.143,4757.6299
09.04.2018 18:00:00.000 GMT+0800,107.143,107.203,107.094,107.100,27543.3398
09.04.2018 19:00:00.000 GMT+0800,107.100,107.139,107.038,107.069,5527.0898
09.04.2018 20:00:00.000 GMT+0800,107.071,107.107,106.964,106.965,6634.3901
09.04.2018 21:00:00.000 GMT+0800,106.965,107.037,106.901,107.004,9374.9805
09.04.2018 22:00:00.000 GMT+0800,107.003,107.106,106.974,107.037,9452.4697
09.04.2018 23:00:00.000 GMT+0800,107.038,107.109,107.011,107.068,7974.5898
10.04.2018 00:00:00.000 GMT+0800,107.067,107.120,106.906,106.937,7692.71
10.04.2018 01:00:00.000 GMT+0800,106.938,106.961,106.912,106.916,5834.75
10.04.2018 02:00:00.000 GMT+0800,106.915,106.919,106.750,106.775,7450.4302
10.04.2018 03:00:00.000 GMT+0800,106.775,106.778,106.616,106.673,19498.3594
10.04.2018 04:00:00.000 GMT+0800,106.673,106.788,106.646,106.752,2335.26
10.04.2018 05:00:00.000 GMT+0800,106.757,106.798,106.708,106.786,4540.8599
10.04.2018 06:00:00.000 GMT+0800,106.786,106.786,106.709,106.733,2481.9299
10.04.2018 07:00:00.000 GMT+0800,106.732,106.759,106.703,106.755,2905.5
10.04.2018 08:00:00.000 GMT+0800,106.753,106.753,106.618,106.684,7278.04
10.04.2018 09:00:00.000 GMT+0800,106.683,106.947,106.679,106.929,9354.0996
10.04.2018 10:00:00.000 GMT+0800,106.930,107.242,106.879,107.174,12979.2305
10.04.2018 11:00:00.000 GMT+0800,107.173,107.188,107.053,107.087,7831.5498
10.04.2018 12:00:00.000 GMT+0800,107.086,107.136,107.078,107.117,5456.7002
10.04.2018 13:00:00.000 GMT+0800,107.116,107.184,107.096,107.142,5673.46
10.04.2018 14:00:00.000 GMT+0800,107.140,107.230,107.123,107.173,5872.6299
10.04.2018 15:00:00.000 GMT+0800,107.173,107.173,106.805,106.900,9534.21
10.04.2018 16:00:00.000 GMT+0800,106.900,107.063,106.844,106.983,8080.5898
